Red,Green,Blue,Color
184,134,11,Brown
218,165,32,Brown
74,49,10,Brown
110,71,10,Brown
110,63,10,Brown
117,52,16,Brown
191,98,4,Brown
148,89,7,Brown
110,68,10,Brown
92,38,18,Brown
61,23,4,Brown
82,49,4,Brown
89,58,14,Brown
143,93,23,Brown
102,45,9,Brown
255,255,0,Yellow
221,224,27,Yellow
232,206,23,Yellow
221,224,18,Yellow
194,196,6,Yellow
223,237,21,Yellow
189,201,20,Yellow
224,237,40,Yellow
240,224,10,Yellow
224,240,10,Yellow
255,240,31,Yellow
200,222,4,Yellow
220,237,64,Yellow
215,235,35,Yellow
205,227,5,Yellow
0,180,0,Green
13,145,9,Green
9,163,3,Green
20,196,20,Green
40,235,33,Green
12,191,6,Green
32,199,26,Green
16,173,10,Green
28,212,49,Green
8,194,29,Green
32,230,55,Green
2,168,21,Green
18,181,37,Green
17,207,39,Green
28,201,48,Green
0,255,255,LightBlue
50,202,252,LightBlue
50,252,252,LightBlue
20,191,247,LightBlue
20,247,221,LightBlue
111,188,247,LightBlue
111,247,247,LightBlue
24, 208 ,245,LightBlue
47,217,247,LightBlue
57,214,247,LightBlue
4,188,224,LightBlue
82,226,255,LightBlue
28,215,252,LightBlue
127,127,255,LightBlue
100,100,255,LightBlue